band,location,bandcamp_url,genre,tags
NOBRO,"Montreal, Québec",https://nobro.bandcamp.com,Rock,Rock
BAD WAITRESS,"Toronto, Ontario",https://badwaitress.bandcamp.com,Rock,"rock and roll., alternative rock, Rock, Punk, indie rock"
GEN AND THE DEGENERATES,"Liverpool, UK",https://gensdegenerates.bandcamp.com,Punk,"alternative pop, post-punk, Punk, indie, Alternative"
THE VAXXINES,"Oakland, California",https://thevaxxines.bandcamp.com,Punk,"rock n roll, pop punk, west-coast-punk, Punk, punk rock"
The Sleeveens,"Nashville, Tennessee",https://thesleeveens.bandcamp.com,Rock,"rock n roll, punk, pub rock, Rock"
So What,"Oakland, California",https://sowhatbandofficial.bandcamp.com,Rock,"Hard Gum, protopunk, Glam, power pop, Rock, Bubblegum"
Leather Pet,"San Francisco, California",https://leatherpet.bandcamp.com,Punk,"rock'n'roll, glam, Punk, leather"
One Step Closer,"Wilkes Barre, Pennsylvania",https://onestepcloserxxx.bandcamp.com,Punk,"hardcore, Punk, straight edge, Wilkes Barre, BT, xxx"
Bleed,"London, UK",https://bleed-music.bandcamp.com,,
World of Pleasure,"Calgary, Alberta",https://worldofpleasure.bandcamp.com,Metal,"hardcore, Metal, vegan, straight edge"
Footballhead,"Chicago, Illinois",https://footballheadchi.bandcamp.com,Alternative,"alternative rock, Pop, Alternative, pop rock"
Melodies of Love 5/30,,,,
CHERRYBOMB MARKET,,,,
Portal to the God Damn Blood Dimension,"Salt Lake City, Utah",https://portaltothegoddamnblooddimension.bandcamp.com,Experimental,"poetry, chamber music, screamo, Experimental, noise, post-rock"
Name,"San Francisco, California",https://name.bandcamp.com,Metal,"jazz, post progressive metal, Metal, progressive, mathcore, metallic hardcore"
Delve,"Linz, Austria",https://mindelve.bandcamp.com,Experimental,Experimental
Lower Companion,California,https://lowercompanion.bandcamp.com,Metal,"hardcore, Blackgaze, Metal, post-hardcore, screamo"
Istanbul Connection,,,,
Balzac,UK,https://balkanvinyl.bandcamp.com,,
DJ Utrillo,Florida,https://djyoungtrilla.bandcamp.com,Hip-Hop/Rap,"rap, Slowed, Hip Hop, Chopped & Screwed, Hip-Hop/Rap"
POPPY PATICA,"Oakland, California",https://poppypatica.bandcamp.com,Rock,"Rock, oof, DC, Oakland, poppy, pop"
LAMPLAND,"New York, New York",https://lampland.bandcamp.com,Alternative,"Alternative, alt country, roots rock, indie rock"
